skill,category
Python,Software Engineering
Java,Software Engineering
JavaScript,Software Engineering
TypeScript,Software Engineering
C,Software Engineering
C++,Software Engineering
C#,Software Engineering
Go,Software Engineering
Rust,Software Engineering
PHP,Software Engineering
Ruby,Software Engineering
Scala,Software Engineering
Kotlin,Software Engineering
Swift,Software Engineering
React,Frontend
Next.js,Frontend
Angular,Frontend
Vue.js,Frontend
Svelte,Frontend
HTML,Frontend
CSS,Frontend
Tailwind CSS,Frontend
Bootstrap,Frontend
Node.js,Backend
Express.js,Backend
Django,Backend
Flask,Backend
FastAPI,Backend
Spring Boot,Backend
ASP.NET,Backend
Laravel,Backend
MySQL,Database
PostgreSQL,Database
MongoDB,Database
Redis,Database
Oracle,Database
SQLite,Database
Cassandra,Database
AWS,Cloud
Azure,Cloud
Google Cloud,Cloud
EC2,Cloud
S3,Cloud
Lambda,Cloud
CloudFormation,Cloud
Docker,DevOps
Kubernetes,DevOps
Jenkins,DevOps
Terraform,DevOps
Ansible,DevOps
GitHub Actions,DevOps
TensorFlow,AI/ML
PyTorch,AI/ML
Scikit-learn,AI/ML
NLP,AI/ML
Computer Vision,AI/ML
Generative AI,AI/ML
Pandas,Data Science
NumPy,Data Science
Matplotlib,Data Science
Statistics,Data Science
Data Visualization,Data Science
Penetration Testing,Cybersecurity
Network Security,Cybersecurity
OWASP,Cybersecurity
SIEM,Cybersecurity
Threat Hunting,Cybersecurity
TCP/IP,Networking
DNS,Networking
DHCP,Networking
Routing,Networking
Switching,Networking
Financial Analysis,Finance
Budgeting,Finance
Forecasting,Finance
Risk Management,Finance
Auditing,Finance
Bookkeeping,Accounting
Tax Preparation,Accounting
Accounts Payable,Accounting
Accounts Receivable,Accounting
Market Research,Commerce
Business Development,Commerce
Procurement,Commerce
Vendor Management,Commerce
Strategy Consulting,Consulting
Business Transformation,Consulting
Process Improvement,Consulting
Stakeholder Management,Consulting
SEO,Marketing
SEM,Marketing
Content Marketing,Marketing
Email Marketing,Marketing
Brand Management,Marketing
Lead Generation,Sales
Negotiation,Sales
CRM,Sales
Account Management,Sales
Recruitment,HR
Talent Acquisition,HR
Performance Management,HR
Employee Relations,HR
Operations Management,Operations
Quality Assurance,Operations
Lean Management,Operations
Six Sigma,Operations
Inventory Management,Supply Chain
Demand Planning,Supply Chain
Logistics,Supply Chain
Warehouse Management,Supply Chain
Clinical Research,Healthcare
Patient Care,Healthcare
Medical Coding,Healthcare
Healthcare Compliance,Healthcare
Contract Review,Legal
Legal Research,Legal
Compliance,Legal
Litigation Support,Legal
Curriculum Development,Education
Teaching,Education
Assessment Design,Education
Classroom Management,Education
Agile,Project Management
Scrum,Project Management
Kanban,Project Management
Risk Assessment,Project Management
Resource Planning,Project Management
Wireframing,UI/UX
Prototyping,UI/UX
User Research,UI/UX
Figma,UI/UX
Accessibility,UI/UX
Communication,Soft Skills
Leadership,Soft Skills
Problem Solving,Soft Skills
Teamwork,Soft Skills
Critical Thinking,Soft Skills
Python (Beginner),Software Engineering
Python (Intermediate),Software Engineering
Python (Advanced),Software Engineering
Python (Expert),Software Engineering
Python Implementation,Software Engineering
Python Administration,Software Engineering
Python Analysis,Software Engineering
Python Design,Software Engineering
Python Development,Software Engineering
Python Optimization,Software Engineering
Python Integration,Software Engineering
Python Testing,Software Engineering
Python Support,Software Engineering
Python Strategy,Software Engineering
Java (Beginner),Software Engineering
Java (Intermediate),Software Engineering
Java (Advanced),Software Engineering
Java (Expert),Software Engineering
Java Implementation,Software Engineering
Java Administration,Software Engineering
Java Analysis,Software Engineering
Java Design,Software Engineering
Java Development,Software Engineering
Java Optimization,Software Engineering
Java Integration,Software Engineering
Java Testing,Software Engineering
Java Support,Software Engineering
Java Strategy,Software Engineering
JavaScript (Beginner),Software Engineering
JavaScript (Intermediate),Software Engineering
JavaScript (Advanced),Software Engineering
JavaScript (Expert),Software Engineering
JavaScript Implementation,Software Engineering
JavaScript Administration,Software Engineering
JavaScript Analysis,Software Engineering
JavaScript Design,Software Engineering
JavaScript Development,Software Engineering
JavaScript Optimization,Software Engineering
JavaScript Integration,Software Engineering
JavaScript Testing,Software Engineering
JavaScript Support,Software Engineering
JavaScript Strategy,Software Engineering
TypeScript (Beginner),Software Engineering
TypeScript (Intermediate),Software Engineering
TypeScript (Advanced),Software Engineering
TypeScript (Expert),Software Engineering
TypeScript Implementation,Software Engineering
TypeScript Administration,Software Engineering
TypeScript Analysis,Software Engineering
TypeScript Design,Software Engineering
TypeScript Development,Software Engineering
TypeScript Optimization,Software Engineering
TypeScript Integration,Software Engineering
TypeScript Testing,Software Engineering
TypeScript Support,Software Engineering
TypeScript Strategy,Software Engineering
C (Beginner),Software Engineering
C (Intermediate),Software Engineering
C (Advanced),Software Engineering
C (Expert),Software Engineering
C Implementation,Software Engineering
C Administration,Software Engineering
C Analysis,Software Engineering
C Design,Software Engineering
C Development,Software Engineering
C Optimization,Software Engineering
C Integration,Software Engineering
C Testing,Software Engineering
C Support,Software Engineering
C Strategy,Software Engineering
C++ (Beginner),Software Engineering
C++ (Intermediate),Software Engineering
C++ (Advanced),Software Engineering
C++ (Expert),Software Engineering
C++ Implementation,Software Engineering
C++ Administration,Software Engineering
C++ Analysis,Software Engineering
C++ Design,Software Engineering
C++ Development,Software Engineering
C++ Optimization,Software Engineering
C++ Integration,Software Engineering
C++ Testing,Software Engineering
C++ Support,Software Engineering
C++ Strategy,Software Engineering
C# (Beginner),Software Engineering
C# (Intermediate),Software Engineering
C# (Advanced),Software Engineering
C# (Expert),Software Engineering
C# Implementation,Software Engineering
C# Administration,Software Engineering
C# Analysis,Software Engineering
C# Design,Software Engineering
C# Development,Software Engineering
C# Optimization,Software Engineering
C# Integration,Software Engineering
C# Testing,Software Engineering
C# Support,Software Engineering
C# Strategy,Software Engineering
Go (Beginner),Software Engineering
Go (Intermediate),Software Engineering
Go (Advanced),Software Engineering
Go (Expert),Software Engineering
Go Implementation,Software Engineering
Go Administration,Software Engineering
Go Analysis,Software Engineering
Go Design,Software Engineering
Go Development,Software Engineering
Go Optimization,Software Engineering
Go Integration,Software Engineering
Go Testing,Software Engineering
